,title,source,url,channel_id,category,dtype,ctype,content_type,date,like,comment_count,up,tags,pageid,itemid,docid,meta,auth,is_gov,b_political,image_urls,detail_fulltext
0,沃尔3.5秒三分绝杀逆天续命 奇才1分险胜绿军逼入抢七,直播吧,http://news.zhibo8.cc/nba/2017-05-13/97377.htm,4367961,体育,1.0,news,news,2017-05-13 10:42:32,15.0,26.0,155.0,[],SC_c2,0GKzkDyD,0GKzkDyD,385806_1494644463459_9003,True,False,False,['http://si1.go2yd.com/get-image/0DLJJwCh7ui'],"北京时间5月13日,16-17赛季NBA季后赛继续进行，东部半决赛第六场，奇才主场迎战凯尔特人，此前奇才大比分2:3落后。上半场，比尔先发制人，为奇才建立优势，布拉德利带领凯尔特人紧咬比分，半场结束，凯尔特人反超一分。下半场，双方进入拉锯战，战至比赛最后，沃尔三分准绝杀，奇才险胜凯尔特人，拖进抢七。数据统计：奇才：沃尔26分2篮板8助攻，比尔33分2篮板5助攻，莫里斯16分11篮板2助攻，戈塔特4分13篮板2助攻，博格达诺维奇4分4篮板，马辛米6分3篮板。凯尔特人：托马斯27分3篮板7助攻，布拉德利27分3篮板4抢断，克劳德10分8助攻7篮板，霍福德20分6篮板3助攻，奥利尼克4分8篮板，斯玛特1分5篮板4助攻首节比赛，霍福德后仰跳投命中，莫里斯三分命中。戈塔特反击上篮得分，克劳德三分命中。比尔内切抛投命中，比尔急停跳投再中。托马斯底角三分穿针，比尔滑翔拉杆上篮得手。沃尔两罚一中，布拉德利空中滞空拉杆上篮。克劳德两罚一中，戈塔特虚晃一枪，单手暴扣。沃尔闪电快攻得手，霍福德罚中两分。托马斯罚中两分，博格丹诺维奇转身上篮得分。马辛米篮下勾手得分，托马斯罚中两分。博格丹诺维奇急停跳投命中。首节结束，奇才22：17领先。次节比赛，布拉德利拉杆上篮得分，比尔撤步跳投命中。奥利尼克抛投命中，布拉德利篮下轻松放篮得手。布拉德利追身三分命中，马辛米内线勾手得分。霍福德打板命中，比尔撤步跳投命中。杰森-史密斯中投命中，比尔罚中两分。霍福德篮下打板命中，莫里斯二次进攻打成2+1.比尔篮下轻松放篮得分，打出一波11：2.杰森-史密斯罚中一分，托马斯空位三分命中。布拉德利罚中两分，霍福德弧顶三分命中。克劳德篮下抛投命中，莫里斯两罚一中，布拉德利空接暴扣，半场结束，凯尔特人反超一分。易边再战，霍福德抹进篮下得分，沃尔罚中两分。布拉德利两罚全中，霍福德快攻双手暴扣。沃尔挂着人上篮成功，布拉德利快攻得手。沃尔中距离命中，沃尔底角三分命中。阿米尔-约翰逊篮下得手，比尔中距离打板得分。布拉德利高位跳投命中，托马斯急停跳投命中。克劳德跟进上篮命中，比尔突破上篮也中。莫里斯篮下暴扣得分，霍福德弧顶三分命中。比尔底线突破上篮命中，布拉德利三分命中。沃尔直杀篮下，突破得分。莫里斯两罚全中，托马斯横移撤步三分命中。沃尔华丽转身上篮命中，托马斯罚中两分。莫里斯补篮命中，三节战罢，凯尔特人69:66领先3分。末节比赛，比尔连续突破，反超比分。布拉德利三分毫不留情，比尔反篮勾射命中。斯玛特两罚中一，沃尔中距离跳投命中。托马斯罚球线跳投命中，沃尔两罚中一。比尔急停抛投命中，奥利尼克篮下偷袭得手。沃尔空中对抗，滞空命中上篮。托马斯飚中45度角三分，莫里斯底角空位三分稳稳命中。克劳德罚中两分，托马斯撤步跳投命中。托马斯三分手起刀落，凯尔特人领先5分。比尔弧顶三分命中，沃尔罚中两分，比分追平。布拉德利大号两分命中，比尔突破抛投打板得手。霍福德中投打板命中，沃尔三分强起命中。双方首发：奇才：沃尔，比尔，波特，莫里斯，戈塔特。凯尔特人：托马斯，布拉德利，克劳德，阿米尔-约翰逊，霍福德。（猴子）"
0,洛瑞正式宣布跳出合同，成为完全自由球员,OnFire,http://article.bbonfire.com/detail/51727?from=rss,4367961,体育,1.0,news,news,2017-05-13 00:00:00,5.0,9.0,189.0,[],SC_c2,0GKr4XuW,0GKr4XuW,385806_1494644463459_9003,True,False,False,['0GKr4X2FZG'],凯尔-洛瑞官方宣布跳出合同，洛瑞告诉记者，他打算在自由市场寻求一份大合同。根据伯德条款，猛龙可以向洛瑞提供一份5年2亿美元的顶薪合同，而如果他选择将天赋带到其他队，他将能得到一份1.5亿美元的顶薪合同。此前有报道称，洛瑞和76人互相有意，而且后者愿意给他提供一份大合同。本赛季常规赛，洛瑞因伤只出战了60场比赛，场均出战37.4分钟得到22.4分4.8篮板7助攻1.5抢断，季后赛，洛瑞出场8次，场均出战37.6分钟得到15.8分3.1篮板5.9助攻1.6抢断。洛瑞今年将满31岁，他在2014年夏天和猛龙签下了4年4800万美元的合同，2017-18赛季为球员选项。（OnFire，天朝最diao的篮球APP）
0,前脚出局后脚哈登同卡戴珊小妹现身夜店！美媒用科比狂讽登哥！,时刻体育,http://www.yidianzixun.com/mp/content?id=23617020,4367961,体育,3.0,news,news,2017-05-13 07:35:27,20.0,38.0,21.0,[],SC_c2,0GKvAGGc,0GKvAGGc,385806_1494644463459_9003,True,False,True,"['http://si1.go2yd.com/get-image/0DL4Ls7iyDQ', 'http://si1.go2yd.com/get-image/0DL4MJIN92O', 'http://si1.go2yd.com/get-image/0DL4MQYL5Um']",北京时间5月13日，在之前结束的NBA季后赛中，火箭最终被马刺淘汰，系列赛总比分2-4出局。此役火箭方面球队的领袖哈登必须要为输球负一定责任，全场他11中2只得到10分7助6失误和6次犯规，整个上半场居然只有2次出手。赛后，哈登遭到了包括ESPN著名评论员Stephen-A-Smith的批评，同时Smith透露，赛后多位名人堂级别的巨星给他发信息职责哈登在生死战软弱的退缩了。然而，外界的压力似乎并没有压垮哈登的兴致。输球后还不到12小时，美国著名媒体《TMZ》就在夜店中抓拍到刚刚被淘汰出局的火箭巨星哈登，人们甚至还在冲他喊MVP！而哈登则是开心的笑了起来。另外，同样是卡戴珊家族的小妹凯利-詹娜也出现在了这家夜店，尽管她和哈登并不是一起来的。据悉，在夜店玩了个痛快后，哈登几个小时后前往了休斯顿最著名的脱衣舞夜总会“Dreams?Houston”。有些巧合的是，就在两小时后，美媒在社交媒体上发布了一条动态，分享了一则关于科比1997年季后赛的故事。以下是原文：“20年前的今天，科比在对阵爵士的系列赛第五场中投了四个三不沾。赛后，湖人队全队飞回洛杉矶，大多数球员都回到了自己的家里，唯有科比去了一所当地的高中，找了个人帮他打开了球馆的大门，然后科比在球馆练了一晚上的投篮，一直到第二天早上。奥尼尔对此说道：‘你知道吗？你也许投了四个三不沾...看到那里所有的人都在嘲笑你...但是你只需把它记在心里，等我们明年再碰到那些家伙就狠狠地扁他们，你是得记住那些事情。尽管科比投了那些个三不沾，但我一点不会对此感到苦恼，因为他是唯一一个敢投那些球的人。’”随后这个夏天，科比一直坚持苦练，他表示：“当飞机降落后，我就立刻去了训练馆。我在那里一直训练到天亮。然后接下来，每一天我都是在训练馆度过，完全没有假期可言。”同样是第一分卫，看起来哈登想要达到科比的程度，要走的路还有很远
0,巴萨新帅本月正式上任！曝将砸2亿壕购五大强援 巴西杀神领衔！,时刻体育,http://www.yidianzixun.com/mp/content?id=23616746,4367961,体育,3.0,news,news,2017-05-13 07:26:04,11.0,21.0,17.0,[],SC_c2,0GKusiQV,0GKusiQV,385806_1494644463459_9003,True,False,False,"['0GKusijdLI', '0GKusi7rvu', '0GKusiaYU5']",据英国《快报》最新报道，巴塞罗那已经锁定了新任主帅人选，恩内斯托-巴尔维尔德将成为巴萨帅印新的掌舵人。消息源来自于西班牙知名足球记者拉斐尔-埃尔南德斯，他透露：“巴尔维尔德目前是头号热门人选，巴萨已经选定了他接班恩里克。”巴尔维尔德球员时代，1988-1990年间也曾效力巴萨，目前是毕尔巴鄂竞技队的主教练。在上个月，巴尔维尔德就已经通知俱乐部不会考虑续约，只因为收到了来自巴萨的邀请，媒体透露，巴萨最快在本月底就会宣布巴尔维尔德正式上任。媒体透露，巴尔维尔德接下来将全面介入到巴萨的引援工作重要，巴萨当务之急是续约梅西，接下来，巴萨在今夏的转会市场上，至少将要引进5个位置上的球星。（A left-back could also be signed - at the right price - meaning there could be FIVE new faces at the Nou Camp next season.）目前登上巴萨引援名单的，包括迪巴拉、库蒂尼奥、维拉蒂，巴萨还要再买一名左后卫和一名中后卫。按照目前的情况，如果想把这些球员都引进的话，巴萨今夏的转会费预算，不会低于2亿欧元。
0,重磅！皇马8千万天才和曼联达成转会 红魔：鲁尼走人10号给你,时刻体育,http://www.yidianzixun.com/mp/content?id=23615497,4367961,体育,3.0,news,news,2017-05-13 06:22:32,13.0,4.0,18.0,[],SC_c2,0GKtt0pi,0GKtt0pi,385806_1494644463459_9003,True,False,False,"['0GKtt0Unda', '0GKtt0zQqK', '0GKtt0hBai']",据英国《metro》最新报道，曼联已经就加盟后的个人待遇等条款，同皇家马德里球星J罗达成了基本的一致。据悉，在本周早些时候，J罗和经纪人门德斯一起，敲开了皇马主席弗洛伦蒂诺办公室的门，向后者表达了不满情绪和离队的想法。老佛爷表示会在赛季结束后再解决J罗的问题，但却同意了经纪人想要和曼联私下接触的计划。据悉，在和曼联的接洽中，J罗明确提出，除了待遇方面，曼联必须还保障一点：那就是必须由J罗来穿10号球衣。因为阿迪达斯和J罗本人的合同中规定，不管他为那支球队效力，只要穿上10号球衣，就能获得额外的收益。对于这一点，曼联几乎“毫无保留的”答应了J罗的要求，穆里尼奥本就打算清洗鲁尼，鲁尼今夏离队后，J罗当仁不让的成为10号球衣的最佳继任者。（Rodriguez has it written into his adidas contract that he has to wear the No 10 so he would take Wayne Rooney's shirt when the England captain leaves the club this summer.）
0,火箭清洗两大将？莫雷弃旧爱够狠，哈登或迎巨头帮手,李喜林篮球绝杀,http://www.yidianzixun.com/mp/content?id=23608327,4367961,体育,3.0,news,news,2017-05-13 07:59:57,63.0,38.0,23.0,[],SC_c2,0GKvywtW,0GKvywtW,385806_1494644463459_9003,True,False,False,"['http://si1.go2yd.com/get-image/0DKYirbM3c0', 'http://si1.go2yd.com/get-image/0DKYjNr936O', 'http://si1.go2yd.com/get-image/0DKYjoxeCfo']",火箭止步西部半决赛有些遗憾，不过这支单核作战的球队能杀进第二轮，并且能与马刺交战六场已经很不容易，同时也展现了火箭具备不小的上升空间。火箭的赛季结束了，而总经理莫雷的工作要开始忙碌了。这个夏天是他帮助火箭蜕变的大好机会。（莫雷需要为哈登寻找巨头帮手。）火箭要有所蜕变，其中一个重要任务就是为哈登引进真正的巨头帮手。尽管埃里克·戈登、路威和莱恩·安德森在本赛季一些比赛有抢眼表现，但他们毕竟不是全明星级别的球员，威胁力不够大。火箭要成为真正的争冠球队，必须在哈登之外有另一位能独当一面，扛起球队前进的球员。勇士有四巨头，骑士有三巨头，马刺在莱昂纳德缺阵的情况下有阿尔德里奇率领球队前进。火箭需要为哈登找到巨头帮手。但是，如果火箭要找巨头球星，意味着要腾出薪金空间签自由球员，或者进行交易。（安德森在季后赛表现低迷。）莱恩·安德森成为了火箭在今年夏天很可能要清洗的目标。安德森在火箭没有起到预想的效果，他在主场的表现实在太差。今年季后赛，安德森场均只得到9.4分和5.2个篮板，投篮命中率仅为39.15%，三分命中率只有28.3%。安德森在季后赛的6个主场总共才得到25分，场均只有4.2分，完全对不起他4年8000万美元的大合同。安德森历来不擅长打季后赛，他职业生涯季后赛场均得分只有7.0分，投篮命中率36.4%，三分命中率32.4%。火箭要迎来蜕变，必须清洗安德森。莫雷在清洗球员方面向来心狠手辣，林书豪、阿西克加盟火箭时都曾被莫雷猛夸，但是当火箭要清洗他们时，莫雷绝不留情，其中为了送走林书豪，不惜搭了一个首轮选秀权。（路威在面对马刺的系列赛发挥不佳。）火箭另外一位大将路易斯·威廉姆斯同样很可能被清洗，他的作用与埃里克·戈登有些重叠。火箭的后场球员身高太矮，打小个阵容防守太差。与马刺的系列赛，路威场均只得到7.3分，投篮命中率只有35.3%，三分命中率17.6%。路威的年薪只有700万美元，他还是有不小的交易价值。火箭在这个赛季展现了不错的竞争力，对于联盟的明星球员吸引力有不小的提升。今年夏天，预计会有杜兰特、库里、保罗、格里芬、海沃德、洛瑞、米尔萨普、伊巴卡、波特等人成为自由球员，此外保罗·乔治、吉米·巴特勒等人可能进入交易市场。对于火箭来说，有些球星注定追不到，但有些必须发起猛攻。保罗·乔治或者吉米·巴特勒如果真的被摆上货架，无疑是火箭的机会，可惜球队的筹码一般，得手有一定的难度。火箭追求自由球员，格里芬、米尔萨普、伊巴卡都是不错的目标。莫雷习惯满天撒网，如果能得到一位全明星级别的球员，那么火箭其他组建工作就好办多了。“下赛季我们会卷土重来，我们有一整个夏天去休整，”哈登在输掉第六战之后这样表示。火箭要卷土重来，必须指望莫雷给哈登带来巨头帮手。
0,震撼！韩国第一天才破23年纪录 中超称霸亚冠靠的还是大牌外援,时刻体育,http://www.yidianzixun.com/mp/content?id=23615458,4367961,体育,3.0,news,news,2017-05-13 06:07:51,1.0,4.0,9.0,[],SC_c2,0GKtmseS,0GKtmseS,385806_1494644463459_9003,True,False,False,"['0GKtms3GaX', '0GKtmsXWlw', '0GKtmsKlow']",据《腾讯体育》最新报道，本周五晚上，英超联赛官方公布了4月份最佳球员得主，热刺韩国球星孙兴民击败埃里克森、维尔通亨、拜利、阿扎尔、本特克和阿圭罗当选。4月份，孙兴民的表现相当抢眼，打进5球还送出1次助攻，帮助热刺拿到过6连胜。客场2-0击败伯恩利，孙兴慜为球队锁定胜局；做客3-1击败斯旺西，孙兴慜在最后时刻打入关键的反超进球；主场4-0大胜沃特福德，孙兴慜打进2球并送出1次助攻闪耀全场；4-0大胜伯恩茅斯的比赛，孙兴慜打入第2个进球。截至目前他已经在43场比赛中打进19球并贡献5次助攻，这是他职业生涯发挥最出色的一个赛季。这是孙兴民加盟英超以来第二次赢得月度最佳球员，都发生在本赛季，他也是本赛季唯一一个两次获奖的球员，去年9月份赛季开始的第二个月，孙兴民也曾经获奖，其他球星阿扎尔、科斯塔、斯特林、伊布、阿里、卢卡库和凯恩都只有1次获奖。孙兴民是1994年英超月度最佳球员奖项成立以来，首次获得该殊荣的亚洲球员，创造了新的纪录。
0,里皮下令必胜叙利亚，密谈中国足协，要求国足做到一点！,天使爱奇迹,http://www.yidianzixun.com/mp/content?id=23612401,4367961,体育,3.0,news,news,2017-05-13 01:25:48,59.0,65.0,213.0,[],SC_c2,0GKsU8iU,0GKsU8iU,385806_1494644463459_9003,True,False,False,"['http://si1.go2yd.com/get-image/0DKeEpvCods', 'http://si1.go2yd.com/get-image/0DKeFqLisqW', 'http://si1.go2yd.com/get-image/0DKeF7dYNn6']",自从里皮去年10月接手中国男足帅印后，国足总算止住了连战连败的颓势。平卡塔尔，胜韩国，输伊朗，三战一胜一平一负，里皮也用实际行动兑现了自己对于中国球迷的承诺：不保证一定赢，但保证一定有变化。国足12强赛已战罢7轮，目前A组的形势，小组第一、高达17分的伊朗已预定了一个直接晋级席位，另外，13分的韩国、12分的乌兹别克、8分的叙利亚分列小组第二至第四名，而国足目前仅积5分排名第五，卡塔尔则4分垫底。如果中国队还想要出线，必须要在最后这3场比赛中全部获胜，而且还得寄望接下来的比赛中乌兹别克最多平一场。应该说，希望非常渺茫。近日，里皮接受了央视《体育世界》节目的采访。在谈到接下来对叙利亚的这场比赛时，里皮表示：“我相信我们的球队有实力击败叙利亚，我们也必须拿下叙利亚。我相信球员们也意识到了，到现在为止我们只赢了一场比赛，这是不正常的，这种不正常还包括我们曾在主场输给了叙利亚。”虽然知道国足出线希望已然不大，但是里皮却从未在正式场合表示放弃对胜利的争夺，因为他坚信国足有这个实力。不过对于未来，里皮已未雨绸缪，他已经开始着手国家队的新老交替工作。接下来的日子，5月15号－17号，里皮将会以国家二队的形式召开新一期飞行集训。提到国家二队的组建，里皮称这是此前与足协秘密协商后决定的，主要目的是希望通过五六期集训后，让更多有能力的球员进入国家队，并要求他们以最快的速度适应国家队的技战术要求。很显然，里皮对于国家二队的这批球员寄予厚望。肩负国足主帅一职，却还要为国家二队服务，同时还得兼任U22国足、U20国足的技术指导，拿一份薪水却干着两份甚至三到四份类似的工作，如此任劳任怨，在中国足坛唯里皮一人而已。为敬业的里皮点赞！
0,中国足协重罚一个接一个 胡尔克案还未出结果 秦升又要不服,狂言之体育,http://www.yidianzixun.com/mp/content?id=23615239,4367961,体育,3.0,news,news,2017-05-13 05:08:54,8.0,31.0,13.0,[],SC_c2,0GKug2vA,0GKug2vA,385806_1494644463459_9003,True,False,False,"['http://si1.go2yd.com/get-image/0DKstNiEBOK', 'http://si1.go2yd.com/get-image/0DKstoqhxuS', 'http://si1.go2yd.com/get-image/0DKsu9ol052']",在上周中场联赛第8轮开赛之前，中国足协公布了一大批罚单，其中不乏重罚。大连队队长朱挺因在裁判面前吐口水，握手不礼貌被停赛7场，河南建业主帅贾秀全向裁判竖大拇指被停赛3场，外援迪亚涅朝杜威吐口水被停4场等等。不过足协的重罚并没有起到警示作用，在接下来的中超，中甲比赛中却更加的混乱。 |上海上港胡尔克被黎兵指出殴打贵州队助教这是上周闹的最厉害的事件，黎兵为讨个说法与胡尔克均出席了昨日足协的听证会，不过从足协出来之后，黎兵和胡尔克截然不同的表情来看，恐怕事态的发展已经有了答案。不过黎兵也表示，他已经做了该作的，至于证据足协应该去查证，既然已经上诉到足协了，一切结果以足协公布的为准。|中国足协在昨日又开出重罚单 王大龙过分力量铲人停赛5场这也是在上周的重罚之后，联赛中又发生不良事件，中甲第8轮中使用过分力量飞铲大连一方球员穆谢奎，深圳佳兆业球员王大龙被禁赛5场，并被罚款人民币2.5万元。 值得一提的是王大龙当时的这个凶狠的铲球，只是吃到了黄牌。而据悉穆谢奎小腿是被铲到了变形，极可能会赛季报销。还有令一个踩人遭受停赛的是江苏苏宁的杨博宇，他在无球状态下踩踏对方球员膝部，造成不良影响。他也将被禁赛四场，罚款2万元人民币。|本赛季受罚最重的秦升将铁定不服本赛季所有罚单中要数上海申花的秦升最严重，他也是一个踩人动作，虽然受罚是必须的，可是他被罚的要远高于杨博宇和王大龙，按动作来说，王大龙这样的动作才停5场的话，秦升半年的停赛他铁定是不服的。秦升在前段时间也因不服，想讨个说法而选择上诉，不过最终在历时40天后，前几天他宣布撤诉。也许昨日黎兵的无奈苦笑和秦升的撤诉都是一个道理，“从一开始就已经注定了是打不赢的官司！”
0,火箭赛季总结会全队就差一人！领袖在看脱衣舞！阿里扎一脸无奈！,时刻体育,http://www.yidianzixun.com/mp/content?id=23618109,4367961,体育,1.0,news,news,2017-05-13 08:17:10,9.0,40.0,29.0,[],SC_c2,0GKvwvVr,0GKvwvVr,385806_1494644463459_9003,True,False,False,['http://si1.go2yd.com/get-image/0DL7Vokq8VU'],北京时间5月13日，在被马刺吊打后，火箭已经早早结束了本赛季季后赛的征程，今天，休城方面召开了赛季总结会。总结会上主帅德安东尼表示输球让他心如刀绞，“输球让我很痛苦，但马刺一直是所有球队的标杆，我想我不是唯一输给他们的教练。”内内则表达了自己的忠心，“我不需要手术，只需要6-8周的康复期，我喜欢休斯顿，在这里我找到了真正的自己。我希望回来。”阿里扎和戈登都表达了明年杀回来的决心，“我认为今年我们打下了很好的基础，我们不会忘记39分的惨败，我们明年会变得更好，再次出现在这个舞台。”可问题是，球队所有核心成员不是在放狠话就是在表忠心，领袖哈登去哪了？据TMZ和《CNS湾区》联合报道，哈登在比赛结束后没多久就去了一家休斯顿夜店，在这里卡戴珊家族的成员凯莉-詹娜也现身了。光是夜店还不够，哈登随后又去休斯顿最著名的脱衣舞夜总会“Dreams?Houston”玩了一个晚上，为此竟没有参加球队季末总结会！光是减压就算了，为了消遣居然连球队赛季末的总结会都不参加了，这似乎有点太说不过去。当所有主力都在表态或是展望时，你却在看脱衣舞，不说别的，这能服众吗？
0,里皮：国足必须拿下叙利亚 组建国家二队弥补青训缺失,足球部落国内版,http://www.yidianzixun.com/mp/content?id=23619627,4367961,体育,1.0,news,news,2017-05-13 09:09:40,2.0,8.0,1.0,[],SC_c2,0GKx591G,0GKx591G,385806_1494644463459_9003,True,False,False,['0GKx59UHkT'],近日，中国男足主教练里皮在接受采访时谈到了接下来的十二强赛，意大利人表示，对阵叙利亚国足必须要全取三分。对于这场比赛里皮说：“我们的球队有实力击败叙利亚，也必须拿下叙利亚。球员们也已意识到了我们只赢了一场比赛这是不正常的。”7轮战罢国足积5分，想要晋级基本上只存在着理论上的可能性。前不久足协组建国家队二队，里皮介绍这是他的决定：“成立二队是我的决定，三四年前的中超比赛中基本没有二十岁出头的球员，他们没有出场机会，这是中国足球青训环节的缺失，希望能够通过国家二队的组建让他们来到国家队，让我们能相互了解。”“如果有球员足够优秀，我会把他们征召到国家一队，这次国家二队的名单主要由23-25岁的球员组成，也有几个锋线上的老将。这次国家二队集训也给老将们提供了机会。”
0,彻底撕破脸！前休城神塔起诉火箭！不给3500万这事没完！,时刻体育,http://www.yidianzixun.com/mp/content?id=23619023,4367961,体育,3.0,news,news,2017-05-13 08:52:22,4.0,8.0,12.0,[],SC_c2,0GKwemJb,0GKwemJb,385806_1494644463459_9003,True,False,False,"['0GKwemtUoj', '0GKwemC0tZ', '0GKwemI74L']",北京时间5月13日，在昨天惨遭马刺淘汰后，今天火箭方面召开了赛季总结会。不过在此之前，他们还要先面临一个大麻烦。据美国著名媒体《sportingnews》的消息，前火箭球员莫泰尤纳斯将通过仲裁起诉火箭以及NBA，他会通过法律途径寻求应有的赔偿。由于涉及到两支球队的合同闹剧，莫泰缺席了2016-17赛季常规赛的前两个月比赛，最终他被迫和鹈鹕签下了一份1年150万的老将底薪。12月初，篮网给他提供了一份4年3500万美元的邀请报价合同（奖金约为200万美元），火箭匹配了报价，打算留住莫泰。但火箭剔除了篮网所提供合同中的一些激励条款，使得整份合同的价值变成了4年3100万美元。随后，由于体检原因莫泰没有去球队报到，合同也就此作废，火箭方面进而放弃了莫泰。刚刚出局又遇到这种闹心事，只能说火箭最近这两天的日子，肯定有些不好过。
0,全球最高薪的球星去年中超0进球，如今他3场造7球无人能挡！,搜达足球,http://www.yidianzixun.com/mp/content?id=23603640,4367961,体育,3.0,news,news,2017-05-12 22:35:23,5.0,11.0,7.0,[],SC_c2,0GKpuIbG,0GKpuIbG,385806_1494644463459_9003,True,False,False,"['0GKpuIAKZ0', '0GKpuIIXlD', '0GKpuI0dzk']",英国《每日邮报》称他们获得了足球解密网的消息，并透露了多名球员的薪水。其中，效力于中超河北华夏幸福的阿根廷球星拉维奇每周可以赚到79.8万英镑（约合人民币710万），是世界上收入最高的足球运动员。作为世界上收入最高的球员，拉维奇上赛季也的确成为了球队的绝对核心。在有拉维奇出场的10场比赛中，河北华夏幸福取得了6胜2平2负的好成绩，而在他缺阵的20场比赛中，球队仅仅取得了5场胜利，更是输掉了10场球。但是单论个人数据，拉维奇很难令球迷们信服，10场比赛只有3个助攻，并且没能取得一个进球！这实在是有愧于他的高额薪水。本赛季伤愈归队后，拉维奇也没能完全恢复状态，除了在对阵申花的比赛中送出过2个助攻，他在其他比赛中的表现都缺乏亮点。但是从第7轮对阵天津亿利的比赛开始，拉维奇就跟开了挂似的，表现越来越好，在最近3场联赛中打进3球并助攻4次！在与天津亿利的比赛中，他先是主罚点球命中，打进了自己加盟中超以来的第一个进球！随后他又主罚角球，帮助姆比亚头球破门。拉维奇在中超联赛的第一粒运动战进球也出现在了这场比赛中，一记势大力沉的抽射直接攻破了杜佳把守的大门。在第8轮与北京中赫国安的比赛中，拉维奇又让全中国球迷见识了自己的助攻本领。他先是在上、下半场分别利用角球助攻阿洛伊西奥和赵宇豪破门。随后他又在完成挑球过人、形成单刀的情况下，把球传给了位置更好的队友阿洛伊西奥，帮助后者梅开二度，而他自己也完成了在本场比赛中的助攻帽子戏法！在今晚客场对阵广州富力的比赛中，又是拉维奇帮助球队首开纪录。他从半场开始带球突进，连过数人后起脚远射，皮球直钻球门死角，富力门将程月磊对此球无可奈何。虽然最终华夏幸福没能取胜，但是拉维奇个人的表现还是足够惊艳的。场下的拉维奇没有大牌架子，能和队友们融洽相处。他和姆比亚一样，都是球队的开心果。而现在，他也用自己在场上的表现证明了，自己绝对配得上高薪。------更多深度好文尽在搜达足球APP，还有豪门正品球衣等你拿！
0,《足球解密》披露中超高薪 特维斯一年最高拿1.9亿,体坛+,http://resource.ttplus.cn/yidian/54905/rss_guide.html,4367961,体育,0.0,news,news,2017-05-13 09:00:00,,0.0,87.0,[],SC_c2,0GKx2LdM,0GKx2LdM,385806_1494644463459_9003,True,False,True,[],近期，德国《明镜周刊》两位记者出版的《足球解密：职业足球中的肮脏交易》一书曝光了足球解密网站收集的一系列足坛合同细节，中超球队也涉及其中。《每日邮报》报道称，中超几大超级外援的薪水在《足球解密》一书中都被透露出来，其中特维斯合同中有诸多奖金条款，一年最高可拿到2107万英镑（约合人民币1.88亿元）的薪资。据《每日邮报》报道，《足球解密》书中披露特维斯在加盟上海申花时签订的合同有着不少奖金条款，涉及出场次数、夺冠奖金及金靴奖等。他的税后年薪是17.16万英镑（约合人民币1.53亿元），赛季出场七成则将获得78.8万英镑（约合人民币701万元）的出勤奖励；如果球队夺得亚冠联赛冠军他将获得156万英镑（约合人民币1400万元）的奖励，夺得中超冠军将获得78.8万英镑（约合人民币701万元）的奖励，如果夺得足协杯冠军则将有39万英镑（约合人民币350万元）的奖励。此外，如果他获得联赛金靴，同样有39万英镑（约合人民币350万元）的奖励。奥斯卡的薪水稍逊于特维斯，达到了周薪54.8万英镑（约合人民币490万元）。迄今，《足球解密》一书已经曝光了博格巴转会条款、伊布高薪以及巴洛特利、施魏因斯泰格的合同条款。国际足联主席因凡蒂诺在当地时间周四表示，这本书揭示了足坛转会需要变得更加透明，将在近期展开讨论，以确定现在的转会体系是否需要被改变。
0,老鲍尔作孽儿子倒霉！终于有超巨放狠话了！欧文：你给我等着！,时刻体育,http://www.yidianzixun.com/mp/content?id=23617523,4367961,体育,3.0,news,news,2017-05-13 07:56:25,4,28.0,24.0,[],SC_c2,0GKvT4Ds,0GKvT4Ds,385806_1494644465449_3568,True,False,False,"['http://si1.go2yd.com/get-image/0DL62tPCxRw', 'http://si1.go2yd.com/get-image/0DL62UYeHUO', 'http://si1.go2yd.com/get-image/0DL63CFGnbM']",北京时间5月13日，如果说本届新秀最出名的球员是谁，那一定是UCLA控卫朗佐-鲍尔这不是因为他比同届新秀强多少，主要是因为他有个好爹，天天为朗佐宣传的拉瓦尔-鲍尔。拉瓦尔-鲍尔做过的争议举动已经不是一次两次了，超乔丹、不需要科比建议之类的话更是数不胜数，今日，终于有超巨对他父亲表示了不满，骑士巨星欧文表示，老鲍尔最好从儿子身后离开。在接受ESPN著名记者Dave-McMenamin采访时，这位超级控卫表示，“说句不好听的，拉瓦尔，你不可能出现在朗佐成长的任何地方。所以你该早早的从他身后离开，别总是干涉他的空间。”“他还没进NBA，你就说他能单挑击败乔丹？真是可笑！”欧文直言，“记住，你儿子要进入的是NBA，这是一个完全不同的世界，放轻松点，当你来到这里你就会发现情况不会像你想象的那样了。”众所周知，欧文是联盟中最著名的科比球迷之一，现在老鲍尔屡次挑衅几位名宿，看起来这位东区第一控卫，已经有些忍不住了。
